"Year","PureFemale","PureMale","AppliedFemale","AppliedMale","StatsFemale","StatsMale"
1994,2,1,2,3,0,1
1995,1,3,0,1,0,0
1996,0,4,0,0,0,4
1997,0,5,1,4,1,2
1998,1,4,1,6,2,0
1999,1,3,0,2,0,0
2000,2,0,0,5,0,1
2001,1,2,2,1,0,1
2002,0,2,0,3,1,1
2003,0,1,0,3,0,0
2004,2,4,0,4,0,1
2005,0,7,0,0,1,1
2006,1,2,0,1,1,0
2007,2,3,0,5,0,1
2008,0,4,0,4,0,0
2009,2,3,2,3,0,1
2010,2,2,1,2,1,0
2011,0,6,1,1,1,1
2012,0,4,1,6,2,1
2013,1,3,0,3,1,1
2014,0,2,0,5,1,2
2015,1,3,0,4,3,3
2016,0,4,0,7,1,3
2017,1,4,0,2,1,2
